application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,work_exp_group,gmat_group,gpa_group
572,Male,False,3.23,Business,White,630.0,4.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
573,Male,True,3.29,Business,International,670.0,4.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
574,Female,False,3.16,Business,White,630.0,4.0,Consulting,Waitlist,4-6 years,600–649,3.00–3.24
575,Male,True,3.04,Humanities,International,580.0,4.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
576,Female,True,3.17,Humanities,International,630.0,6.0,Investment Management,Admit,4-6 years,600–649,3.00–3.24
577,Male,False,3.38,Humanities,Asian,720.0,7.0,Technology,Deny,7+ years,700–749,3.25–3.49
578,Male,False,3.23,Business,Asian,570.0,4.0,Technology,Deny,4-6 years,550–599,3.00–3.24
579,Male,False,3.46,Business,Hispanic,660.0,6.0,Technology,Admit,4-6 years,650–699,3.25–3.49
580,Male,False,3.39,Business,Asian,650.0,5.0,Other,Deny,4-6 years,600–649,3.25–3.49
581,Male,False,3.32,Business,White,720.0,4.0,Nonprofit/Gov,Admit,4-6 years,700–749,3.25–3.49
582,Male,False,3.34,STEM,Black,670.0,4.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
583,Male,False,3.33,STEM,White,680.0,4.0,Investment Banking,Admit,4-6 years,650–699,3.25–3.49
584,Male,False,3.35,Business,White,660.0,3.0,Consulting,Admit,1-3 years,650–699,3.25–3.49
585,Male,True,3.35,STEM,International,690.0,5.0,Other,Admit,4-6 years,650–699,3.25–3.49
586,Female,False,3.01,Business,Asian,570.0,5.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
587,Female,False,3.02,STEM,Black,660.0,4.0,Consulting,Deny,4-6 years,650–699,3.00–3.24
588,Male,False,3.42,Humanities,Black,780.0,3.0,PE/VC,Deny,1-3 years,750–800,3.25–3.49
589,Male,False,3.01,Humanities,Black,640.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
590,Male,False,3.47,STEM,White,680.0,3.0,Nonprofit/Gov,Deny,1-3 years,650–699,3.25–3.49
591,Male,True,3.04,Business,International,620.0,4.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
592,Female,False,3.33,Humanities,White,700.0,4.0,Nonprofit/Gov,Admit,4-6 years,650–699,3.25–3.49
593,Male,False,3.44,Business,White,660.0,6.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
594,Female,True,3.19,STEM,International,700.0,5.0,Consulting,Admit,4-6 years,650–699,3.00–3.24
595,Male,False,3.07,Humanities,Asian,570.0,6.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
596,Male,True,3.29,Business,International,630.0,5.0,Financial Services,Deny,4-6 years,600–649,3.25–3.49
597,Male,False,3.27,STEM,White,590.0,7.0,Nonprofit/Gov,Deny,7+ years,550–599,3.25–3.49
598,Male,True,3.43,Humanities,International,720.0,5.0,Nonprofit/Gov,Deny,4-6 years,700–749,3.25–3.49
599,Male,False,3.15,Business,Asian,620.0,6.0,Real Estate,Deny,4-6 years,600–649,3.00–3.24
600,Male,True,3.06,STEM,International,650.0,5.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
601,Female,True,3.24,STEM,International,660.0,5.0,Investment Management,Admit,4-6 years,650–699,3.00–3.24
602,Female,False,2.98,STEM,White,640.0,3.0,Other,Waitlist,1-3 years,600–649,2.75–2.99
603,Male,True,3.04,Business,International,610.0,7.0,PE/VC,Deny,7+ years,600–649,3.00–3.24
604,Female,False,3.31,STEM,Black,720.0,7.0,Technology,Admit,7+ years,700–749,3.25–3.49
605,Female,False,3.25,Business,Black,630.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
606,Male,False,2.99,Humanities,White,630.0,5.0,Other,Deny,4-6 years,600–649,2.75–2.99
607,Female,True,3.0,Business,International,630.0,3.0,Consulting,Admit,1-3 years,600–649,2.75–2.99
608,Male,False,3.4,Humanities,Hispanic,660.0,5.0,Technology,Deny,4-6 years,650–699,3.25–3.49
609,Female,False,3.17,Business,Asian,580.0,6.0,Nonprofit/Gov,Deny,4-6 years,550–599,3.00–3.24
610,Female,False,3.69,STEM,Asian,780.0,6.0,Nonprofit/Gov,Admit,4-6 years,750–800,3.50–3.74
611,Male,False,2.79,Business,Asian,600.0,5.0,Real Estate,Deny,4-6 years,550–599,2.75–2.99
612,Female,False,2.87,STEM,Asian,570.0,5.0,Technology,Deny,4-6 years,550–599,2.75–2.99
613,Male,False,3.09,Business,White,640.0,5.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
614,Male,False,3.16,STEM,White,650.0,7.0,Consulting,Deny,7+ years,600–649,3.00–3.24
615,Female,False,3.22,Humanities,Black,660.0,5.0,Technology,Admit,4-6 years,650–699,3.00–3.24
616,Female,False,3.39,Humanities,Black,650.0,5.0,PE/VC,Deny,4-6 years,600–649,3.25–3.49
617,Male,True,3.46,Humanities,International,680.0,5.0,Technology,Deny,4-6 years,650–699,3.25–3.49
618,Male,False,3.2,Business,Black,670.0,5.0,Consulting,Deny,4-6 years,650–699,3.00–3.24
619,Male,False,2.88,Business,Other,570.0,5.0,Health Care,Deny,4-6 years,550–599,2.75–2.99
620,Male,False,3.51,Business,Asian,700.0,4.0,Consulting,Deny,4-6 years,650–699,3.50–3.74
621,Male,False,3.25,Business,Other,640.0,5.0,Technology,Deny,4-6 years,600–649,3.00–3.24
622,Female,False,3.4,Business,Hispanic,780.0,5.0,Technology,Admit,4-6 years,750–800,3.25–3.49
623,Male,False,3.2,STEM,Black,670.0,4.0,CPG,Deny,4-6 years,650–699,3.00–3.24
624,Male,False,2.95,STEM,Black,570.0,6.0,Consulting,Deny,4-6 years,550–599,2.75–2.99
625,Male,True,3.33,Humanities,International,710.0,7.0,Health Care,Admit,7+ years,700–749,3.25–3.49
626,Female,True,3.07,STEM,International,640.0,6.0,Real Estate,Admit,4-6 years,600–649,3.00–3.24
627,Male,True,3.12,Humanities,International,720.0,4.0,Technology,Deny,4-6 years,700–749,3.00–3.24
628,Male,False,3.18,Business,Hispanic,570.0,5.0,Health Care,Deny,4-6 years,550–599,3.00–3.24
629,Male,False,3.11,Humanities,Asian,610.0,6.0,Media/Entertainment,Deny,4-6 years,600–649,3.00–3.24
630,Male,False,3.11,STEM,Black,570.0,5.0,Investment Banking,Deny,4-6 years,550–599,3.00–3.24
631,Male,False,2.99,Humanities,White,580.0,3.0,Consulting,Deny,1-3 years,550–599,2.75–2.99
632,Male,True,3.38,Business,International,740.0,6.0,Other,Deny,4-6 years,700–749,3.25–3.49
633,Female,False,3.08,Humanities,Hispanic,600.0,5.0,Health Care,Deny,4-6 years,550–599,3.00–3.24
634,Male,False,3.45,STEM,Asian,650.0,4.0,Energy,Deny,4-6 years,600–649,3.25–3.49
635,Male,False,3.51,Humanities,White,750.0,6.0,Technology,Deny,4-6 years,700–749,3.50–3.74
636,Male,True,3.29,Humanities,International,690.0,4.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
637,Male,False,3.4,STEM,Hispanic,700.0,5.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
638,Male,True,3.36,STEM,International,690.0,3.0,Consulting,Deny,1-3 years,650–699,3.25–3.49
639,Male,True,3.45,Humanities,International,650.0,5.0,Financial Services,Deny,4-6 years,600–649,3.25–3.49
640,Male,False,3.48,STEM,Asian,780.0,6.0,Health Care,Deny,4-6 years,750–800,3.25–3.49
641,Female,True,3.14,Business,International,590.0,5.0,PE/VC,Admit,4-6 years,550–599,3.00–3.24
642,Male,True,3.34,Business,International,660.0,5.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
643,Female,False,3.43,Humanities,Black,630.0,4.0,CPG,Deny,4-6 years,600–649,3.25–3.49
644,Male,False,3.14,STEM,White,720.0,6.0,Technology,Deny,4-6 years,700–749,3.00–3.24
645,Male,True,3.19,Business,International,670.0,5.0,Financial Services,Deny,4-6 years,650–699,3.00–3.24
646,Male,True,3.0,Business,International,620.0,5.0,Technology,Deny,4-6 years,600–649,2.75–2.99
647,Male,False,3.24,Business,Asian,640.0,4.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
648,Female,True,3.12,Humanities,International,690.0,6.0,PE/VC,Admit,4-6 years,650–699,3.00–3.24
649,Male,False,3.37,Business,Asian,680.0,4.0,Technology,Deny,4-6 years,650–699,3.25–3.49
650,Male,False,3.39,Humanities,Asian,690.0,6.0,Investment Banking,Deny,4-6 years,650–699,3.25–3.49
651,Male,False,3.32,Business,Black,610.0,6.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
652,Male,True,3.33,Business,International,690.0,3.0,Consulting,Admit,1-3 years,650–699,3.25–3.49
653,Male,True,3.29,STEM,International,620.0,4.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
654,Female,True,3.23,Business,International,640.0,4.0,Consulting,Admit,4-6 years,600–649,3.00–3.24
655,Male,True,3.12,Humanities,International,630.0,5.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
656,Male,True,3.24,Humanities,International,610.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
657,Female,False,3.37,Humanities,Asian,670.0,4.0,Technology,Admit,4-6 years,650–699,3.25–3.49
658,Female,False,3.17,Business,Other,570.0,6.0,Other,Admit,4-6 years,550–599,3.00–3.24
659,Male,False,3.12,Humanities,Other,680.0,6.0,Technology,Deny,4-6 years,650–699,3.00–3.24
660,Male,True,3.21,Humanities,International,660.0,5.0,Financial Services,Admit,4-6 years,650–699,3.00–3.24
661,Male,False,3.0,Business,White,600.0,5.0,Financial Services,Deny,4-6 years,550–599,2.75–2.99
662,Male,False,3.07,Business,Asian,600.0,6.0,PE/VC,Deny,4-6 years,550–599,3.00–3.24
663,Female,True,3.23,STEM,International,650.0,4.0,Financial Services,Admit,4-6 years,600–649,3.00–3.24
664,Male,False,3.19,STEM,White,680.0,5.0,Financial Services,Deny,4-6 years,650–699,3.00–3.24
665,Male,True,3.32,STEM,International,710.0,5.0,Financial Services,Admit,4-6 years,700–749,3.25–3.49
666,Female,True,3.11,STEM,International,650.0,4.0,Technology,Admit,4-6 years,600–649,3.00–3.24
667,Female,True,3.21,STEM,International,630.0,4.0,PE/VC,Waitlist,4-6 years,600–649,3.00–3.24
668,Male,False,3.28,STEM,Asian,590.0,7.0,Investment Management,Deny,7+ years,550–599,3.25–3.49
669,Male,False,3.41,Business,Black,710.0,6.0,Health Care,Deny,4-6 years,700–749,3.25–3.49
670,Male,True,3.38,STEM,International,630.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
671,Male,False,3.26,Business,White,610.0,5.0,Health Care,Deny,4-6 years,600–649,3.25–3.49
672,Male,False,3.65,STEM,Hispanic,710.0,6.0,Financial Services,Admit,4-6 years,700–749,3.50–3.74
673,Male,False,3.27,STEM,White,650.0,4.0,Retail,Deny,4-6 years,600–649,3.25–3.49
674,Male,False,3.42,Business,Other,690.0,5.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
675,Male,False,3.43,Business,Black,740.0,4.0,Financial Services,Deny,4-6 years,700–749,3.25–3.49
676,Male,False,3.22,STEM,Hispanic,690.0,3.0,Investment Management,Admit,1-3 years,650–699,3.00–3.24
677,Female,False,3.03,Humanities,Black,570.0,7.0,Consulting,Deny,7+ years,550–599,3.00–3.24
678,Female,False,3.45,Humanities,White,690.0,4.0,Consulting,Waitlist,4-6 years,650–699,3.25–3.49
679,Female,True,3.26,STEM,International,700.0,3.0,Other,Admit,1-3 years,650–699,3.25–3.49
680,Male,False,3.21,STEM,White,640.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
681,Female,True,3.34,STEM,International,700.0,5.0,Consulting,Waitlist,4-6 years,650–699,3.25–3.49
682,Male,False,3.26,Business,White,740.0,6.0,Consulting,Admit,4-6 years,700–749,3.25–3.49
683,Female,False,3.37,Humanities,Black,650.0,4.0,Technology,Deny,4-6 years,600–649,3.25–3.49
684,Male,False,3.36,Humanities,White,630.0,6.0,Technology,Deny,4-6 years,600–649,3.25–3.49
685,Male,False,3.34,Business,White,680.0,5.0,Financial Services,Admit,4-6 years,650–699,3.25–3.49
686,Female,False,3.58,Business,Other,780.0,5.0,Technology,Admit,4-6 years,750–800,3.50–3.74
687,Male,False,3.3,STEM,Asian,600.0,6.0,Health Care,Deny,4-6 years,550–599,3.25–3.49
688,Male,False,3.1,Humanities,Hispanic,570.0,4.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
689,Male,True,3.15,Business,International,640.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
690,Male,False,3.3,Humanities,White,680.0,6.0,Health Care,Deny,4-6 years,650–699,3.25–3.49
691,Male,True,3.49,Business,International,680.0,4.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
692,Male,True,3.15,Humanities,International,610.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
693,Male,True,3.26,Business,International,650.0,4.0,Technology,Deny,4-6 years,600–649,3.25–3.49
694,Male,True,2.96,Humanities,International,590.0,5.0,Other,Deny,4-6 years,550–599,2.75–2.99
695,Male,True,3.38,Business,International,650.0,6.0,Media/Entertainment,Deny,4-6 years,600–649,3.25–3.49
696,Male,False,3.32,Humanities,Hispanic,650.0,5.0,Health Care,Deny,4-6 years,600–649,3.25–3.49
697,Female,False,3.36,Humanities,White,640.0,5.0,PE/VC,Waitlist,4-6 years,600–649,3.25–3.49
698,Male,True,3.19,Business,International,650.0,4.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
699,Male,False,3.27,Humanities,Black,620.0,6.0,PE/VC,Deny,4-6 years,600–649,3.25–3.49
700,Male,True,3.3,Humanities,International,630.0,4.0,Investment Banking,Deny,4-6 years,600–649,3.25–3.49
701,Male,False,3.05,Humanities,Asian,630.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
702,Male,False,3.5,Business,Asian,690.0,6.0,Other,Deny,4-6 years,650–699,3.25–3.49
703,Male,False,3.56,Business,Black,670.0,6.0,Consulting,Deny,4-6 years,650–699,3.50–3.74
704,Female,False,3.28,Humanities,Other,650.0,6.0,PE/VC,Admit,4-6 years,600–649,3.25–3.49
705,Female,False,3.2,STEM,Asian,630.0,6.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
706,Female,False,3.24,STEM,Asian,630.0,3.0,Investment Banking,Deny,1-3 years,600–649,3.00–3.24
707,Male,False,3.35,STEM,Asian,720.0,4.0,Consulting,Deny,4-6 years,700–749,3.25–3.49
708,Male,False,3.2,Business,White,630.0,5.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
709,Male,True,3.52,Business,International,660.0,3.0,Consulting,Waitlist,1-3 years,650–699,3.50–3.74
710,Female,False,3.2,Humanities,White,640.0,6.0,Consulting,Waitlist,4-6 years,600–649,3.00–3.24
711,Male,False,3.02,STEM,Asian,640.0,4.0,Retail,Deny,4-6 years,600–649,3.00–3.24
712,Female,False,3.51,Humanities,Other,690.0,4.0,Consulting,Admit,4-6 years,650–699,3.50–3.74
713,Male,False,3.25,STEM,White,650.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
714,Male,False,3.09,Business,Asian,680.0,7.0,Consulting,Deny,7+ years,650–699,3.00–3.24
715,Male,False,3.4,Humanities,Asian,700.0,4.0,Retail,Deny,4-6 years,650–699,3.25–3.49
716,Male,True,2.93,Business,International,570.0,5.0,Nonprofit/Gov,Deny,4-6 years,550–599,2.75–2.99
717,Female,False,3.44,STEM,White,650.0,3.0,Consulting,Waitlist,1-3 years,600–649,3.25–3.49
718,Male,False,3.27,STEM,Hispanic,700.0,6.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
719,Male,False,3.26,STEM,Asian,690.0,4.0,Technology,Admit,4-6 years,650–699,3.25–3.49
720,Male,True,3.39,Business,International,640.0,6.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
721,Male,True,3.44,Business,International,700.0,3.0,Media/Entertainment,Deny,1-3 years,650–699,3.25–3.49
722,Male,False,3.26,STEM,Asian,710.0,6.0,Investment Management,Admit,4-6 years,700–749,3.25–3.49
723,Male,True,3.29,Business,International,590.0,5.0,Nonprofit/Gov,Deny,4-6 years,550–599,3.25–3.49
724,Male,True,3.19,Humanities,International,630.0,5.0,Health Care,Deny,4-6 years,600–649,3.00–3.24
725,Male,False,3.18,STEM,White,680.0,4.0,PE/VC,Deny,4-6 years,650–699,3.00–3.24
726,Male,True,3.13,Humanities,International,640.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
727,Male,False,3.39,STEM,White,730.0,5.0,Financial Services,Deny,4-6 years,700–749,3.25–3.49
728,Male,False,3.24,Humanities,Hispanic,580.0,4.0,Investment Banking,Deny,4-6 years,550–599,3.00–3.24
729,Female,True,3.32,STEM,International,640.0,6.0,Consulting,Waitlist,4-6 years,600–649,3.25–3.49
730,Male,False,2.89,Humanities,Asian,580.0,4.0,Technology,Deny,4-6 years,550–599,2.75–2.99
731,Male,False,3.22,Humanities,White,600.0,5.0,Technology,Deny,4-6 years,550–599,3.00–3.24
732,Female,True,3.42,Business,International,690.0,6.0,Financial Services,Waitlist,4-6 years,650–699,3.25–3.49
733,Female,False,3.37,Business,White,710.0,5.0,Consulting,Waitlist,4-6 years,700–749,3.25–3.49
734,Male,False,3.3,Humanities,Asian,700.0,6.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
735,Male,True,3.16,Business,International,640.0,5.0,Technology,Deny,4-6 years,600–649,3.00–3.24
736,Female,False,3.02,Business,Black,570.0,4.0,PE/VC,Deny,4-6 years,550–599,3.00–3.24
737,Male,False,3.18,Humanities,Black,660.0,4.0,Other,Deny,4-6 years,650–699,3.00–3.24
738,Male,False,3.36,Humanities,Asian,640.0,3.0,Consulting,Deny,1-3 years,600–649,3.25–3.49
739,Male,False,3.19,Business,White,660.0,2.0,Technology,Deny,1-3 years,650–699,3.00–3.24
740,Female,False,3.28,Humanities,Hispanic,670.0,6.0,Investment Banking,Deny,4-6 years,650–699,3.25–3.49
741,Male,False,3.28,STEM,Black,610.0,5.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.25–3.49
742,Male,False,3.33,Business,Asian,640.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
743,Male,False,3.18,Business,White,730.0,4.0,Consulting,Deny,4-6 years,700–749,3.00–3.24
744,Male,False,3.35,STEM,White,650.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
745,Male,False,3.01,STEM,Hispanic,650.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
746,Male,False,2.98,Business,White,570.0,5.0,PE/VC,Deny,4-6 years,550–599,2.75–2.99
747,Female,True,3.29,Humanities,International,710.0,4.0,Investment Banking,Admit,4-6 years,700–749,3.25–3.49
748,Male,True,3.31,Humanities,International,670.0,4.0,CPG,Admit,4-6 years,650–699,3.25–3.49
749,Male,False,3.37,Humanities,White,700.0,4.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
750,Male,True,3.29,Business,International,730.0,5.0,Consulting,Deny,4-6 years,700–749,3.25–3.49
751,Male,False,3.29,STEM,Hispanic,750.0,6.0,PE/VC,Waitlist,4-6 years,700–749,3.25–3.49
752,Male,True,3.26,Humanities,International,690.0,4.0,Health Care,Deny,4-6 years,650–699,3.25–3.49
753,Male,True,3.63,Business,International,700.0,6.0,Technology,Admit,4-6 years,650–699,3.50–3.74
754,Male,True,3.24,Humanities,International,670.0,5.0,Other,Admit,4-6 years,650–699,3.00–3.24
755,Male,False,3.27,STEM,Asian,600.0,3.0,Health Care,Deny,1-3 years,550–599,3.25–3.49
756,Female,False,3.45,Business,Asian,700.0,5.0,Other,Admit,4-6 years,650–699,3.25–3.49
757,Male,True,3.0,Humanities,International,670.0,4.0,Nonprofit/Gov,Deny,4-6 years,650–699,2.75–2.99
758,Male,True,3.18,Humanities,International,620.0,4.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
759,Male,False,3.31,Business,White,630.0,3.0,Consulting,Deny,1-3 years,600–649,3.25–3.49
760,Male,False,3.16,Humanities,Asian,720.0,6.0,Technology,Deny,4-6 years,700–749,3.00–3.24
761,Female,True,3.41,Humanities,International,690.0,5.0,Consulting,Waitlist,4-6 years,650–699,3.25–3.49
762,Male,False,3.1,Humanities,Black,630.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
763,Male,False,3.22,Humanities,Asian,650.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
764,Male,True,3.29,Business,International,680.0,5.0,Health Care,Deny,4-6 years,650–699,3.25–3.49
765,Male,False,3.35,Humanities,Black,720.0,7.0,Consulting,Admit,7+ years,700–749,3.25–3.49
766,Male,False,3.08,STEM,Black,570.0,4.0,Nonprofit/Gov,Deny,4-6 years,550–599,3.00–3.24
767,Female,True,3.65,Humanities,International,630.0,6.0,Consulting,Waitlist,4-6 years,600–649,3.50–3.74
768,Male,False,3.46,Humanities,White,770.0,6.0,PE/VC,Deny,4-6 years,750–800,3.25–3.49
769,Male,False,3.26,STEM,Black,670.0,6.0,Technology,Deny,4-6 years,650–699,3.25–3.49
770,Male,False,3.3,Humanities,Black,640.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.25–3.49
771,Female,False,3.07,Humanities,White,620.0,6.0,Health Care,Waitlist,4-6 years,600–649,3.00–3.24
772,Male,False,3.08,STEM,Black,610.0,5.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
773,Female,True,2.9,STEM,International,650.0,5.0,Technology,Waitlist,4-6 years,600–649,2.75–2.99
774,Male,True,3.18,Humanities,International,690.0,4.0,Consulting,Deny,4-6 years,650–699,3.00–3.24
775,Male,False,3.15,Humanities,Black,640.0,5.0,Investment Management,Deny,4-6 years,600–649,3.00–3.24
776,Male,True,3.2,Humanities,International,570.0,3.0,Consulting,Deny,1-3 years,550–599,3.00–3.24
777,Male,False,3.18,Business,Black,610.0,5.0,Other,Deny,4-6 years,600–649,3.00–3.24
778,Male,True,3.31,Humanities,International,710.0,5.0,Health Care,Deny,4-6 years,700–749,3.25–3.49
779,Female,False,3.24,Business,Hispanic,660.0,4.0,Other,Deny,4-6 years,650–699,3.00–3.24
780,Male,True,3.51,STEM,International,700.0,5.0,Investment Banking,Waitlist,4-6 years,650–699,3.50–3.74
781,Male,False,3.35,Business,Black,710.0,6.0,Health Care,Deny,4-6 years,700–749,3.25–3.49
782,Male,False,3.49,STEM,Black,690.0,6.0,Investment Banking,Admit,4-6 years,650–699,3.25–3.49
783,Male,False,3.35,STEM,Asian,620.0,6.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
784,Male,True,3.06,Humanities,International,580.0,3.0,Technology,Deny,1-3 years,550–599,3.00–3.24
785,Male,False,3.43,STEM,Asian,730.0,6.0,Nonprofit/Gov,Deny,4-6 years,700–749,3.25–3.49
786,Female,True,3.36,STEM,International,620.0,6.0,Nonprofit/Gov,Waitlist,4-6 years,600–649,3.25–3.49
787,Female,False,3.26,Humanities,White,740.0,4.0,Health Care,Admit,4-6 years,700–749,3.25–3.49
788,Male,True,2.99,STEM,International,650.0,5.0,Financial Services,Deny,4-6 years,600–649,2.75–2.99
789,Male,True,3.17,Humanities,International,620.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
790,Female,True,3.24,Humanities,International,640.0,5.0,Nonprofit/Gov,Waitlist,4-6 years,600–649,3.00–3.24
791,Female,False,3.19,STEM,Asian,580.0,5.0,PE/VC,Deny,4-6 years,550–599,3.00–3.24
792,Female,False,3.21,Humanities,Hispanic,710.0,5.0,Other,Deny,4-6 years,700–749,3.00–3.24
793,Female,False,3.09,Business,Black,570.0,7.0,PE/VC,Deny,7+ years,550–599,3.00–3.24
794,Female,False,3.39,STEM,Black,610.0,6.0,Investment Management,Deny,4-6 years,600–649,3.25–3.49
795,Male,False,3.33,STEM,Asian,690.0,4.0,Financial Services,Admit,4-6 years,650–699,3.25–3.49
796,Male,True,3.28,Humanities,International,650.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
797,Male,False,3.18,Business,Hispanic,650.0,5.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
798,Male,True,3.1,Business,International,570.0,4.0,Other,Deny,4-6 years,550–599,3.00–3.24
799,Male,False,3.25,STEM,Hispanic,740.0,5.0,PE/VC,Deny,4-6 years,700–749,3.00–3.24
800,Male,False,3.17,Humanities,Hispanic,570.0,5.0,Financial Services,Deny,4-6 years,550–599,3.00–3.24
801,Male,True,3.27,Business,International,640.0,6.0,Health Care,Deny,4-6 years,600–649,3.25–3.49
802,Male,False,3.36,STEM,White,640.0,3.0,Consulting,Deny,1-3 years,600–649,3.25–3.49
803,Male,True,3.45,Business,International,680.0,5.0,Financial Services,Admit,4-6 years,650–699,3.25–3.49
804,Female,False,3.16,Humanities,Hispanic,570.0,7.0,PE/VC,Deny,7+ years,550–599,3.00–3.24
805,Male,False,3.32,Humanities,Black,660.0,4.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
806,Male,True,3.09,Humanities,International,640.0,5.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
807,Female,False,3.26,Business,White,710.0,5.0,Investment Banking,Admit,4-6 years,700–749,3.25–3.49
808,Male,False,3.21,Humanities,Asian,630.0,4.0,Investment Banking,Deny,4-6 years,600–649,3.00–3.24
809,Male,False,3.33,Humanities,Black,680.0,4.0,Investment Banking,Deny,4-6 years,650–699,3.25–3.49
810,Male,False,3.3,Humanities,White,680.0,5.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
811,Male,True,3.38,STEM,International,670.0,5.0,Financial Services,Deny,4-6 years,650–699,3.25–3.49
812,Male,True,3.39,Humanities,International,600.0,6.0,Health Care,Deny,4-6 years,550–599,3.25–3.49
813,Female,False,3.41,STEM,White,670.0,4.0,PE/VC,Waitlist,4-6 years,650–699,3.25–3.49
814,Male,True,3.11,STEM,International,620.0,4.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
815,Female,False,3.08,Humanities,Black,610.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
816,Male,False,3.39,Business,Hispanic,680.0,4.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
817,Male,False,3.19,Humanities,White,570.0,3.0,Energy,Deny,1-3 years,550–599,3.00–3.24
818,Male,True,3.37,Business,International,640.0,3.0,Financial Services,Deny,1-3 years,600–649,3.25–3.49
819,Female,True,3.41,Business,International,720.0,4.0,Financial Services,Waitlist,4-6 years,700–749,3.25–3.49
820,Female,True,3.17,Business,International,620.0,5.0,Other,Waitlist,4-6 years,600–649,3.00–3.24
821,Male,True,3.45,Humanities,International,640.0,6.0,Investment Banking,Deny,4-6 years,600–649,3.25–3.49
822,Male,False,3.38,Humanities,White,700.0,6.0,CPG,Deny,4-6 years,650–699,3.25–3.49
823,Male,True,3.26,Business,International,680.0,7.0,Consulting,Admit,7+ years,650–699,3.25–3.49
824,Female,False,3.47,Business,Black,630.0,5.0,PE/VC,Deny,4-6 years,600–649,3.25–3.49
825,Female,False,3.28,Humanities,White,610.0,5.0,CPG,Waitlist,4-6 years,600–649,3.25–3.49
826,Male,True,3.2,STEM,International,650.0,5.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
827,Male,False,3.26,STEM,Black,630.0,6.0,Technology,Deny,4-6 years,600–649,3.25–3.49
828,Male,True,3.3,Humanities,International,670.0,4.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
829,Male,False,3.58,STEM,Black,740.0,4.0,Health Care,Admit,4-6 years,700–749,3.50–3.74
830,Male,False,2.98,STEM,White,620.0,6.0,Consulting,Deny,4-6 years,600–649,2.75–2.99
